epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1826,4.16399,5.08236,3.50391,0,0,0,0,5.52856,5.42452,4.37336,9.20231e-05,9.20231e-05,9.20231e-05
2,43.9288,2.30364,3.12991,2.15678,0.24838,0.22953,0.13082,0.06829,1.62549,2.63426,1.80211,0.000182861,0.000182861,0.000182861
3,65.5066,1.52257,2.26562,1.51539,0.41866,0.53392,0.33433,0.24319,1.00261,1.74571,1.27609,0.000271865,0.000271865,0.000271865
4,87.0503,1.2105,1.8223,1.27433,0.48903,0.63578,0.41976,0.31506,0.91259,1.46819,1.14114,0.000269743,0.000269743,0.000269743
5,108.592,1.04248,1.59669,1.1716,0.38468,0.48978,0.33226,0.2309,1.10384,1.83839,1.25022,0.000266991,0.000266991,0.000266991
6,129.846,0.94307,1.44045,1.09803,0.48661,0.66986,0.42504,0.34346,0.69807,1.3546,1.00731,0.000264239,0.000264239,0.000264239
7,151.286,0.87011,1.36077,1.05201,0.51889,0.73381,0.44619,0.37183,0.64635,1.22279,0.97795,0.000261487,0.000261487,0.000261487
8,172.746,0.8002,1.29466,1.02288,0.52979,0.75383,0.49136,0.40683,0.64353,1.1338,0.96829,0.000258735,0.000258735,0.000258735
9,194.176,0.75284,1.24232,0.99676,0.46141,0.762,0.46151,0.39144,0.58407,1.13789,0.94086,0.000255982,0.000255982,0.000255982
10,215.456,0.72506,1.20207,0.97442,0.49097,0.78795,0.48816,0.41313,0.57309,1.08805,0.92759,0.00025323,0.00025323,0.00025323
11,236.847,0.6951,1.16549,0.96595,0.48734,0.80379,0.49133,0.42644,0.52356,1.06449,0.91458,0.000250478,0.000250478,0.000250478
12,258.286,0.67478,1.14606,0.95642,0.45798,0.81095,0.51821,0.4487,0.52154,1.0581,0.90523,0.000247726,0.000247726,0.000247726
13,279.672,0.65378,1.12744,0.94706,0.44421,0.8598,0.51589,0.44843,0.51499,1.01895,0.90786,0.000244974,0.000244974,0.000244974
14,300.914,0.64203,1.10859,0.93607,0.47769,0.84551,0.46699,0.41637,0.45863,1.02945,0.8896,0.000242221,0.000242221,0.000242221
15,322.103,0.62269,1.07715,0.92665,0.41985,0.89631,0.47857,0.42264,0.48122,1.0376,0.89107,0.000239469,0.000239469,0.000239469
16,343.366,0.61512,1.07255,0.92285,0.46415,0.84301,0.49138,0.43924,0.45458,1.01544,0.88237,0.000236717,0.000236717,0.000236717
17,364.576,0.60644,1.06431,0.9193,0.47081,0.86192,0.62926,0.56469,0.43804,0.92057,0.87314,0.000233965,0.000233965,0.000233965
18,386.01,0.59758,1.04221,0.91704,0.47519,0.86001,0.56598,0.50795,0.44156,0.94033,0.87303,0.000231213,0.000231213,0.000231213
19,407.193,0.58131,1.02032,0.91028,0.47074,0.83454,0.51665,0.45974,0.47601,0.97569,0.88024,0.00022846,0.00022846,0.00022846
20,428.419,0.57336,1.0232,0.9079,0.43769,0.84409,0.52843,0.47614,0.43194,0.96024,0.87132,0.000225708,0.000225708,0.000225708
21,449.61,0.57608,1.02178,0.90735,0.50703,0.84687,0.58936,0.5292,0.42295,0.93664,0.86916,0.000222956,0.000222956,0.000222956
22,470.837,0.55351,1.00066,0.89712,0.49357,0.87127,0.54044,0.4888,0.42172,0.93903,0.86269,0.000220204,0.000220204,0.000220204
23,492.025,0.55622,0.9899,0.89815,0.43487,0.91185,0.5043,0.44976,0.45615,0.98975,0.87174,0.000217452,0.000217452,0.000217452
24,513.242,0.54291,0.97458,0.89482,0.50101,0.82611,0.60573,0.54615,0.42577,0.89496,0.86351,0.000214699,0.000214699,0.000214699
25,534.483,0.53632,0.9878,0.88973,0.43912,0.91857,0.49433,0.4498,0.40025,0.94937,0.85947,0.000211947,0.000211947,0.000211947
26,555.702,0.52816,0.97349,0.89309,0.48039,0.87788,0.54481,0.49547,0.39416,0.93771,0.85336,0.000209195,0.000209195,0.000209195
27,576.91,0.53063,0.95868,0.88979,0.47617,0.86166,0.61086,0.55146,0.41713,0.89213,0.85733,0.000206443,0.000206443,0.000206443
28,598.139,0.51729,0.94889,0.8841,0.4659,0.85021,0.51489,0.4634,0.43137,0.98331,0.86067,0.000203691,0.000203691,0.000203691
29,619.33,0.52248,0.95103,0.88897,0.44666,0.90552,0.50382,0.46106,0.38302,0.96412,0.85049,0.000200938,0.000200938,0.000200938
30,640.576,0.5194,0.94167,0.88357,0.49954,0.82706,0.60551,0.55397,0.38934,0.88144,0.85081,0.000198186,0.000198186,0.000198186
31,661.804,0.51174,0.9352,0.88273,0.48028,0.88077,0.54615,0.49749,0.40113,0.93081,0.85205,0.000195434,0.000195434,0.000195434
32,682.976,0.50474,0.91256,0.87836,0.46021,0.8851,0.58471,0.53131,0.40563,0.90169,0.85707,0.000192682,0.000192682,0.000192682
33,704.214,0.50801,0.91915,0.8773,0.58067,0.79791,0.71149,0.65167,0.39348,0.80917,0.84989,0.00018993,0.00018993,0.00018993
34,725.6,0.50224,0.9081,0.87908,0.49712,0.80904,0.61382,0.56239,0.40305,0.8789,0.85401,0.000187177,0.000187177,0.000187177
35,746.804,0.49834,0.89555,0.87725,0.42908,0.86593,0.55613,0.51107,0.37875,1.0326,0.84828,0.000184425,0.000184425,0.000184425
36,768.064,0.50528,0.87649,0.87876,0.5247,0.85524,0.67516,0.61778,0.39236,0.85559,0.84933,0.000181673,0.000181673,0.000181673
37,789.258,0.50302,0.86557,0.87685,0.53699,0.81692,0.68437,0.63242,0.37459,0.81392,0.84591,0.000178921,0.000178921,0.000178921
38,810.463,0.4989,0.83602,0.87903,0.72896,0.76175,0.79701,0.73101,0.37526,0.69341,0.84507,0.000176169,0.000176169,0.000176169
39,831.938,0.48426,0.83616,0.87166,0.56584,0.82397,0.71412,0.65839,0.3836,0.77511,0.84718,0.000173416,0.000173416,0.000173416
40,853.125,0.49081,0.84023,0.8746,0.44869,0.85524,0.5338,0.48798,0.3941,1.04032,0.84886,0.000170664,0.000170664,0.000170664
41,874.419,0.49072,0.80597,0.87387,0.53075,0.70701,0.61394,0.5548,0.40886,1.00249,0.85384,0.000167912,0.000167912,0.000167912
42,895.645,0.48674,0.80337,0.87401,0.55909,0.7922,0.6843,0.63341,0.38789,0.80565,0.84758,0.00016516,0.00016516,0.00016516
43,916.856,0.48085,0.77669,0.8734,0.45804,0.82984,0.58065,0.52992,0.39876,0.96803,0.85,0.000162408,0.000162408,0.000162408
44,938.104,0.48818,0.75546,0.87258,0.61557,0.79854,0.73624,0.6771,0.38237,0.72201,0.84953,0.000159655,0.000159655,0.000159655
45,959.294,0.48222,0.77067,0.87222,0.53043,0.79851,0.65686,0.60456,0.38216,0.85098,0.84722,0.000156903,0.000156903,0.000156903
46,980.541,0.47954,0.73571,0.86751,0.67654,0.79848,0.79602,0.73187,0.37511,0.63316,0.8471,0.000154151,0.000154151,0.000154151
47,1001.92,0.47521,0.72548,0.86813,0.66931,0.7986,0.78918,0.72849,0.37337,0.67995,0.84321,0.000151399,0.000151399,0.000151399
48,1023.16,0.47211,0.70794,0.86658,0.54867,0.80793,0.65497,0.60736,0.37973,0.8211,0.84712,0.000148647,0.000148647,0.000148647
49,1044.37,0.47216,0.70782,0.86453,0.61201,0.81173,0.7265,0.6748,0.36319,0.71215,0.84112,0.000145894,0.000145894,0.000145894
50,1065.63,0.46496,0.69043,0.86788,0.69266,0.78195,0.752,0.69711,0.35921,0.67896,0.84025,0.000143142,0.000143142,0.000143142
51,1086.84,0.46414,0.71243,0.86645,0.56695,0.8122,0.70483,0.65105,0.36641,0.80016,0.84104,0.00014039,0.00014039,0.00014039
52,1108.08,0.4611,0.67933,0.86382,0.53403,0.83168,0.63359,0.58887,0.36238,0.86928,0.84072,0.000137638,0.000137638,0.000137638
53,1129.29,0.4652,0.66925,0.86507,0.67116,0.78717,0.76414,0.70751,0.37067,0.68237,0.84321,0.000134886,0.000134886,0.000134886
54,1150.47,0.45535,0.65798,0.86169,0.69745,0.73609,0.767,0.71134,0.36546,0.71082,0.84159,0.000132133,0.000132133,0.000132133
55,1171.73,0.45421,0.63757,0.86137,0.79175,0.85193,0.87885,0.81723,0.35511,0.52134,0.83893,0.000129381,0.000129381,0.000129381
56,1193.16,0.45979,0.64317,0.86109,0.64688,0.7666,0.75858,0.69862,0.36694,0.74329,0.84315,0.000126629,0.000126629,0.000126629
57,1214.36,0.45756,0.64602,0.8598,0.6429,0.74983,0.75,0.69686,0.36344,0.72379,0.84107,0.000123877,0.000123877,0.000123877
58,1235.63,0.45176,0.64235,0.86099,0.58523,0.76991,0.70862,0.6559,0.36217,0.78965,0.83938,0.000121125,0.000121125,0.000121125
59,1256.83,0.45463,0.61953,0.8605,0.65564,0.81957,0.78149,0.72497,0.36359,0.66423,0.84036,0.000118372,0.000118372,0.000118372
60,1278.11,0.44838,0.60439,0.85974,0.8177,0.81542,0.86922,0.8102,0.36019,0.52717,0.83997,0.00011562,0.00011562,0.00011562
61,1299.27,0.4483,0.58864,0.85869,0.64609,0.78192,0.7369,0.68812,0.35926,0.70103,0.84038,0.000112868,0.000112868,0.000112868
62,1320.5,0.4356,0.57548,0.85634,0.77751,0.87027,0.89261,0.82856,0.3569,0.49509,0.8393,0.000110116,0.000110116,0.000110116
63,1341.93,0.44222,0.57177,0.85857,0.74756,0.81983,0.84648,0.79147,0.35409,0.57958,0.83803,0.000107364,0.000107364,0.000107364
64,1363.1,0.43904,0.57189,0.8561,0.67941,0.84386,0.8187,0.76428,0.35025,0.62451,0.83633,0.000104611,0.000104611,0.000104611
65,1384.38,0.43401,0.5563,0.8569,0.66389,0.80214,0.76112,0.71465,0.34975,0.69702,0.83591,0.000101859,0.000101859,0.000101859
66,1405.6,0.43965,0.56408,0.85582,0.68169,0.82722,0.80392,0.75154,0.34693,0.63535,0.83438,9.9107e-05,9.9107e-05,9.9107e-05
67,1426.85,0.43458,0.55729,0.85675,0.66823,0.85738,0.82365,0.76958,0.34718,0.61593,0.83616,9.63548e-05,9.63548e-05,9.63548e-05
68,1448.11,0.43441,0.53515,0.85712,0.73285,0.76484,0.82535,0.77183,0.34904,0.62539,0.83635,9.36026e-05,9.36026e-05,9.36026e-05
69,1469.37,0.43072,0.5257,0.85489,0.70106,0.83849,0.82333,0.77172,0.34528,0.61682,0.83391,9.08504e-05,9.08504e-05,9.08504e-05
70,1490.59,0.42158,0.51043,0.85131,0.61243,0.83509,0.7358,0.68992,0.3483,0.74974,0.83456,8.80982e-05,8.80982e-05,8.80982e-05
71,1511.87,0.42952,0.54176,0.85379,0.77319,0.81413,0.85372,0.7945,0.35176,0.54335,0.83732,8.5346e-05,8.5346e-05,8.5346e-05
72,1533.1,0.42664,0.51149,0.85246,0.61278,0.85185,0.72484,0.68156,0.35339,0.72867,0.83609,8.25938e-05,8.25938e-05,8.25938e-05
73,1554.34,0.42236,0.5119,0.84898,0.64777,0.81599,0.75944,0.7095,0.34345,0.71985,0.83458,7.98416e-05,7.98416e-05,7.98416e-05
74,1575.57,0.42319,0.51223,0.85367,0.79268,0.83418,0.86431,0.80943,0.34305,0.51142,0.83349,7.70894e-05,7.70894e-05,7.70894e-05
75,1596.79,0.41812,0.49569,0.85217,0.81059,0.90039,0.90363,0.84886,0.33704,0.42463,0.8323,7.43372e-05,7.43372e-05,7.43372e-05
76,1618.25,0.41866,0.50232,0.85258,0.62614,0.81313,0.76816,0.72116,0.3446,0.73854,0.83447,7.1585e-05,7.1585e-05,7.1585e-05
77,1639.45,0.41984,0.5001,0.84976,0.79709,0.7997,0.86227,0.80654,0.34254,0.52199,0.83253,6.88328e-05,6.88328e-05,6.88328e-05
78,1660.72,0.41465,0.46651,0.85032,0.80991,0.87188,0.89701,0.84578,0.33312,0.45025,0.83063,6.60806e-05,6.60806e-05,6.60806e-05
79,1681.94,0.41523,0.46711,0.84959,0.67234,0.80803,0.77824,0.73033,0.3428,0.67653,0.83426,6.33284e-05,6.33284e-05,6.33284e-05
80,1703.23,0.41594,0.4669,0.85258,0.77789,0.85189,0.87117,0.81697,0.33873,0.49217,0.8328,6.05762e-05,6.05762e-05,6.05762e-05
81,1724.42,0.41258,0.45466,0.84923,0.72956,0.81676,0.84156,0.79178,0.34204,0.58309,0.83398,5.7824e-05,5.7824e-05,5.7824e-05
82,1745.73,0.40905,0.43245,0.85071,0.70905,0.86033,0.84658,0.79473,0.33833,0.56277,0.83263,5.50718e-05,5.50718e-05,5.50718e-05
83,1766.94,0.40717,0.42711,0.84652,0.79136,0.80227,0.86271,0.80889,0.33943,0.55636,0.83261,5.23196e-05,5.23196e-05,5.23196e-05
84,1788.21,0.41035,0.4444,0.84729,0.72638,0.84415,0.84228,0.7906,0.3382,0.57571,0.83238,4.95674e-05,4.95674e-05,4.95674e-05
85,1809.45,0.40857,0.45968,0.84891,0.74934,0.82826,0.84873,0.79651,0.33931,0.55956,0.83284,4.68152e-05,4.68152e-05,4.68152e-05
86,1830.68,0.40337,0.44119,0.84737,0.73258,0.79017,0.82123,0.77041,0.33604,0.62912,0.83127,4.4063e-05,4.4063e-05,4.4063e-05
87,1851.96,0.40365,0.44055,0.84751,0.77506,0.84124,0.85565,0.80493,0.33339,0.5338,0.83094,4.13108e-05,4.13108e-05,4.13108e-05
88,1873.21,0.39868,0.4062,0.84679,0.80484,0.85541,0.8781,0.82605,0.33408,0.51415,0.83061,3.85586e-05,3.85586e-05,3.85586e-05
89,1894.41,0.39932,0.42236,0.84705,0.77207,0.78934,0.84097,0.79122,0.33293,0.6151,0.83004,3.58064e-05,3.58064e-05,3.58064e-05
90,1915.67,0.40214,0.42856,0.84365,0.79666,0.8508,0.8765,0.82392,0.33354,0.49828,0.83087,3.30542e-05,3.30542e-05,3.30542e-05
91,1937.19,0.34327,0.33427,0.82939,0.78458,0.80737,0.85499,0.80452,0.33432,0.57704,0.82984,3.0302e-05,3.0302e-05,3.0302e-05
92,1958.26,0.33644,0.31223,0.82518,0.82045,0.82585,0.88321,0.83046,0.33222,0.51278,0.82993,2.75498e-05,2.75498e-05,2.75498e-05
93,1979.4,0.33655,0.29419,0.82666,0.78817,0.83385,0.85447,0.80715,0.333,0.55583,0.83017,2.47976e-05,2.47976e-05,2.47976e-05
94,2000.47,0.33663,0.31697,0.82519,0.77474,0.86689,0.87395,0.82362,0.33125,0.51919,0.82953,2.20454e-05,2.20454e-05,2.20454e-05
95,2021.67,0.33706,0.28356,0.82462,0.8042,0.82538,0.87115,0.82211,0.3324,0.53174,0.82963,1.92932e-05,1.92932e-05,1.92932e-05
96,2042.82,0.33454,0.28813,0.82473,0.84159,0.84578,0.8915,0.84068,0.33115,0.48175,0.82913,1.6541e-05,1.6541e-05,1.6541e-05
97,2063.93,0.33493,0.28472,0.82358,0.77438,0.83931,0.85404,0.80485,0.3354,0.56506,0.82997,1.37888e-05,1.37888e-05,1.37888e-05
98,2085.09,0.33368,0.27713,0.82354,0.80301,0.832,0.87081,0.82247,0.33091,0.52829,0.82916,1.10366e-05,1.10366e-05,1.10366e-05
99,2106.27,0.33078,0.27044,0.8228,0.81713,0.81994,0.8721,0.82263,0.32935,0.52568,0.82855,8.2844e-06,8.2844e-06,8.2844e-06
100,2127.37,0.32774,0.25399,0.82395,0.79233,0.85715,0.87523,0.82616,0.32982,0.5191,0.82885,5.5322e-06,5.5322e-06,5.5322e-06
